strategy_id	strategy_name	strategy_description	strategy_answerset_id
70	"in 't versier hebbe"	"te wachten hebben"	Utrechts
71	"van wanten weten"	"goed weten wat er te koop is, of wat 't leven eist en er zich door kunnen slaan"	Utrechts
72	"an de weet komme"	"te weten komen"	Utrechts
73	"met 'n opgestreke zeil komen"	"boos en tevens van plan die boosheid te luchten"	Utrechts
74	"op z'n zeuve gemakke"	"heel langzaam, heel kalmpjes aan"	Utrechts
75	"betrekking hebben op"	"zich aangetrokken voelen tot"	Utrechts
76	"iemand de keel afbijten; het bijt hem de keel af"	"hij kan er haast niet afblijven, zo veel honger heeft hij"	Utrechts
77	"iemand de dampen andoen"	"kwellinge veroorzaken"	Utrechts
78	"Je kunt me de bout hachelen!"	"laat maar zitten, stik erin"	Utrechts
79	"iemand stok en bal geve"	"iemand plotseling voor een beslissing plaatsen"	Utrechts
80	"iemand voet geve"	"iemand steun geven in zijn denkbeelden en gevoelens"	Utrechts
81	"z'n gat in z'n arm nemen"	"er vandoor gaan"	Utrechts
82	"geen asem voor geld hebben"	"het druk hebben"	Utrechts
83	"geen pruim voor 'n ben vol zijn"	"zeer zwijgzaam zijn"	Utrechts
84	"een bord voor z'kop hebbe"	"onbeschaamd zijn"	Utrechts
85	"n buik mit bene hebbe"	"zwanger zijn"	Utrechts
86	"ergens mit de breeje bijl inhakke"	"royaal zijn"	Utrechts
87	"erge´s mee voor de draad komme"	"Iets (meestal gevoelens) naar voren brengen, opbiechten"	Utrechts
88	"iemand an de dijk zette"	"hem plotsling ontslaan"	Utrechts
89	"een ei in z'n gat kenne gaar koke"	"hij zit erg in benauwdheid"	Utrechts
90	"iemand te graze nemen"	"Iemand voor de gek houden / fysiek letsel toebrengen"	Utrechts
91	"Het grondgat van iets willen weten"	"? alle details van iets willen weten"	Utrechts
92	"je hart uit je lijf spuge"	"hevig braken"	Utrechts
93	"t op je heupe hebbe"	"Ineens heel actief worden / ineens iets heel raars/wilds doen"	Utrechts
94	"t huisie bij t schuurtje late"	"niet al te royaal aanleggen"	Utrechts
95	"iemand te kakke zette"	"iemand zo onder handen nemen dat hij niets meer in te brengen heeft"	Utrechts
96	"een stuk in z'n kraag hebbe"	"dronken zijn"	Utrechts
97	"geen gate mee uit kunne"	"met die persoon is niets te beginnen"	Utrechts
98	"ergens je lakense bril veur opzette"	"dat zal ik eens goed bekijken"	Utrechts
99	"we motte 't huisie bij 't schuurtje late"	"we moeten niet teveel geld uitgeven"	Utrechts
100	"ergens mee op de lappe komen"	"voor de dag komen"	Utrechts
101	"angaan as de lebendege duvel"	"vreselijk tekeer gaan"	Utrechts
102	"maling aan iets hebben"	"er niet om geven"	Utrechts
103	"merd an iets hebbe"	"er niet om geven"	Utrechts
104	"iemand op z'n mieter geve"	"een pak slaag toedienen"	Utrechts
105	"z'n eige uit-te-naad werreke/lope"	"zeer zwaar werk doen"	Utrechts
106	"iemand op z'n pokkel geve"	"een pak slaag toedienen"	Utrechts
107	"iets in z'n oor late rijze"	"iets wel horen, maar er geen nota van nemen"	Utrechts
108	"van 'n scheet een donderslag make"	"sterk overdrijven"	Utrechts
109	"smoel op iets hebben"	"zin in iets hebben"	Utrechts
110	"een snee in z'n neus hebben"	"dronken zijn"	Utrechts
111	"iets in de snot hebbe"	"iets in de gaten hebben"	Utrechts
112	"er de sokke in zette"	"hard wegrennen"	Utrechts
113	"de spat 'r in zette"	"er van door gaan"	Utrechts
114	"iemand op z'n vessie spuge"	"iemand de ongezouten waarheid vertellen"	Utrechts
115	"het hart uit z'n lijf spugen"	"heel erg spugen"	Utrechts
116	"iemand uit de stront hale"	"iemand weer tot eer brengen en vooruit helpen"	Utrechts
117	"ergens 'n veer late"	"belasterd worden"	Utrechts
118	"n veer van z'n gat kenne blaze"	"je iets beter voelen?"	Utrechts
119	"iemand in z'n zak hebben"	"iemand door hebben"	Utrechts
120	"de duim op 't zinkgat hebbe"	"zorgen dat er niet teveel geld wordt uitgegeven"	Utrechts
121	"van een kouwe kerremes thuis komen"	"er slecht af komen"	Utrechts
122	"ergens geen deeg van hebbe"	"er geen voldoening van hebben"	Utrechts
123	"ergens kakhuize mee kenne dekke"	"er zijn er veel te veel"	Utrechts
124	"iemand burreg voor iets staan"	"ergens voor in staan"	Utrechts
125	"iemand de pé op z'n neus zette"	"hem tevoren een krachtige waarschuwing geven"	Utrechts
126	"van de vurk in de griep valle"	"van de regen in de drup raken"	Utrechts
127	"voor iemand in de bocht springen"	"werk overnemen"	Utrechts
128	"mit de kenijne deur de tralies kenne vrete"	"heel mager zijn"	Utrechts
129	"de broodkrummels stekn 'm"	"iemand die t te weelderig heeft en daardoor dartel wordt"	Utrechts
130	"praatjes waar de lommerd geen briefie op geeft"	kletspraat	Utrechts
131	"t weer luistert"	"t is zeer stil, er is geen zuchtje wind"	Utrechts
132	"eige roem stinkt"	"? iemand die t te weelderig heeft en daardoor dartel wordt"	Utrechts
133	"mit 'n helm geboren zijn"	"voorspellende gave hebben"	Utrechts
134	"t luistert nauw"	"nauwkeurigheid is vereist"	Utrechts
135	"goed in z'n wand zitte"	"stevig zijn"	Utrechts
136	"t is een rare kanebraier"	"rare vent"	Utrechts
137	"t is toch een moord"	"het is toch erg"	Utrechts
138	"t is ontlatend"	"het dooit iets"	Utrechts
139	"t is nie veul pere waard"	"t is weinig waard"	Utrechts
140	"t is toch 'n spul"	"t is raar"	Utrechts
141	"stinkbokkem slechte sigaar"	?	Utrechts
142	"dat houwt er maar om"	"dat is maar nauwelijks het geval"	Utrechts
144	"dat mag Joost wete"	"daar weet ik niets van"	Utrechts
146	"leg toch niet te kalegezichte"	"zanik, zeur toch niet"	Utrechts
149	"jij ken 'm wel maken en breke"	"jij bent veel sterker dan hij"	Utrechts
151	"ergens niet over uit kenne"	"hoogst verwonderd over iets zijn"	Utrechts
152	parlevinke	"rondlopen zonder doel"	Utrechts
156	"de huk lichten"	"?? Commentaar = door er peper en zout tegen te brengen"	Deventers
157	"de kaore ümewippen"	"een miskraam hebben"	Deventers
158	"de melk optrekken"	"zijn belofte niet vervullen"	Deventers
159	"de kuierlatten nemmen"	lopen	Deventers
160	"de Battemse krante lèzen"	"een middagdutje doen"	Deventers
161	"n möjlek lipken trekken"	bedroefd	Deventers
162	"n guje snaai maken"	"goede zaken doen"	Deventers
163	"kòrt krîgen"	wisselen	Deventers
164	"schellekes maken"	"belletje trekken"	Deventers
165	"strünken braojen"	"werk verrichten dat geen doel of zin heeft, of niets doen"	Deventers
166	"Hiee schreeuwden pen en ink"	"hij schreeuwde moord en brand"	Deventers
167	"zîn slinger hebben"	"zijn draai hebben"	Deventers
168	"m knijpen"	"m knijpen"	Deventers
169	"ze pieeren"	winnen	Deventers
170	"vör den aap hòlden"	"foppen, beet hebben"	Deventers
171	"op zîn achterste pooten staon"	"misgenoegen/ontevredenheid te kennen geven"	Deventers
172	"bî blôd komen"	"aan de winnende hand zijn"	Deventers
173	"zeuken met zien broodoogen"	"met je ogen in je broekzak zoeken"	Deventers
174	"in de wilde bukweite voort lüllen"	"maar raak kletsen"	Deventers
175	"op zien falie kriegen"	"een pak slaag krijgen"	Deventers
176	"argens in gröjen"	"er zich in verheugen, met de bijgedachte van: leedvermaak"	Deventers
177	"an den haok slachten"	"niet zelf een koe slachten, maar vlees bij de slager kopen"	Deventers
178	"warken vör hüsbeste"	"ten bate van het gezin"	Deventers
179	"op de grond, van de bieenen kégelen"	vallen	Deventers
180	"in de kîkepot zitten"	"door de politie opgepakt"	Deventers
181	"in de kniepert zitten"	"in je piepzak zitten"	Deventers
182	"deur 't knökkelenbos motten / deur knokkel en bos motten"	"een tijd van beproeving doorleven"	Deventers
183	"met de billewagen gaan"	lopen	Deventers
184	"met 'n dikke marse löpen"	"in verwachting zijn"	Deventers
185	"in de pîpzak zitten"	"bevreesd zijn"	Deventers
186	"naor 't pîrenkülthen gaon"	"dood gaan"	Deventers
187	"op de pof lüllen"	kletsen	Deventers
188	"aover de püthaok  trouwen"	"niet wettelijk getrouwd zijn"	Deventers
189	"dör de répe trekken"	"uit de band springen"	Deventers
190	"an de rieem trekken"	mingere??	Deventers
191	"op de bessem rîjen"	"diarree hebben"	Deventers
192	"op schabbertjen(de)bonk lopen"	klaplopen	Deventers
193	"op de schüpstôl zitten"	"in onzekerheid verkeren of men in een woning kan blijven"	Deventers
194	"op slag kommen"	"dadelijk komen"	Deventers
195	"op stal loopen"	"kooper worden voor den inzetprijs"	Deventers
196	"op strîkzîd liggen"	slapen	Deventers
197	"iemand tôdrinken"	"zelf eerst weinig uit het glaasje drinken voor men het overgeeft."	Deventers
198	"ten volsten kommen"	"helpen, ondersteunen"	Deventers
199	"bî 't ende hebben"	"bij de hand hebben"	Deventers
200	"t mîr an hebben"	"ergens een hekel aan hebben"	Deventers
201	"t vör een oortjen hebben"	"het goed hebben"	Deventers
202	"n Snaore in/an hebben"	"dronken zijn"	Deventers
203	"an de flep wèzen"	"diarree hebben"	Deventers
204	"van alle kattekarmsen tüs zijn"	"hij kan van alles"	Deventers
205	"an de krökkel zijn"	sukkelen	Deventers
206	"in zîn sas zijn"	goedgehumeurd	Deventers
207	"in de wierde zijn"	"in de war zijn"	Deventers
208	"iemand iets inschünen"	"iemand tot iets kwaads aansporen"	Deventers
209	"iemand 't jak ütstükken"	"iemand de waarheid zeggen"	Deventers
210	"îmand de kaste ütvègen"	"iemand de waarheid zeggen"	Deventers
211	"vertrouw 'm gîn spier"	"vertrouw 'm niet"	Deventers
212	"iets saldaot maken"	"iets opmaken"	Deventers
213	"iemand üt de podde helpen"	"hem een reinigingsproces doen ondergaan"	Deventers
214	"iemand in de spîzen hebben"	"wsl: iemand zien"	Deventers
215	"iemand 't buis üt vègen"	"iemand de waarheid zeggen"	Deventers
216	"îmand nao kîkepot brengen"	"iemand opbergen (bewaarplaats)"	Deventers
217	"îmand in de lüren leggen"	foppen/bedriegen	Deventers
218	"îmand in de kladden/fikken/klauwen krîgen"	"iemand te pakken krijgen"	Deventers
219	"iets onder de léden hebben"	"ziek zijn"	Deventers
220	"ergens mat an hebben"	"het kan me niet schelen"	Deventers
221	"m an de lippe hölden"	"veel drinken (wsl alcohol)"	Deventers
222	"in dat hüs likt papieren balkens"	"het is zwaar gehypothekeerd"	Deventers
223	"ik heb 't wark in 't fîne"	voltooid	Deventers
224	"Hee löp het gat üt den naod"	"Hij haast zich"	Deventers
225	"et vör de nîren hebben"	"ziek zijn"	Deventers
226	"t water in de kelder hebben"	"failliet zijn"	Deventers
227	"n mond opzetten van geweld"	"vreselijk schreeuwen"	Deventers
228	"n snaor an hebben"	"dronken zijn"	Deventers
229	"n kòp as 'n tünhamer hebben"	"rood opgezet hoofd van kwaadheid"	Deventers
230	"n gróten dag van îmand hebben of hòlden"	"veel met hem op hebben"	Deventers
231	"bütenbieens en binnennieens op 't gat kunnen vallen"	"de kunst helemaal niet verstaan"	Deventers
232	"koopman zijn in hazevellen en lüzebasten"	"koppman wiens handel weinig betekent"	Deventers
233	"ik hebter wel smul op"	"zin in iets hebben"	Deventers
234	"zwaore vrachten op zien pokkel nemmen"	"te veel hooi op de vork"	Deventers
235	"smul op iemand hebben"	"een goed oogje op iemand hebben"	Deventers
236	"spül met 'm hebben"	"last van iemand hebben"	Deventers
237	"gîn bur in 't venster zitten"	"niemand in de weg zitten/tot last zijn"	Deventers
238	"mîn büksken op de lieeste slaon"	"goed eten"	Deventers
239	"iemand iets onderdums zeggen"	"hem ongemerkt de waarheid zeggen"	Deventers
240	"iemand 'n héle büngel an 't bieen zijn"	"iemand een blok aan het been zijn"	Deventers
241	"ik heb mien de konte uut den haok (naod) eloopen"	"ik heb te hard moeten lopen"	Deventers
242	"ik heb mien 'n poeste in 't lief egèten"	"zo veel gegeten dat ik er ongemakkelijk van ben"	Deventers
243	"Hee vrög mien 't hemd van 't gat"	"Hee vraagt me meer dan ik mag zeggen"	Deventers
244	"dan is u gîn kaore an 't gat ebonden"	"dan ben je gauw weg"	Deventers
245	"vör een oortjen in hus liggen"	"niets te zeggen te hebben"	Deventers
246	"het met iemand in het rut hebben"	"ongenoegen met iemand hebben"	Deventers
247	"gud in zîn want zitten"	"er warmpjes bij zitten"	Deventers
248	"ergens rüt an hebben"	"ergens lak aan hebben"	Deventers
249	"bîj nu hélemaole besjucheld"	mal	Deventers
250	"glad in de bîster zijn"	"in de war"	Deventers
251	"t Is daor ook hommels"	"er is onenigheid"	Deventers
252	"t is 'n echte Jan Mèkes"	"een lijmerig sprekende zemelkous"	Deventers
253	"t is 'n jódentur"	"t is uiterst moeilijk"	Deventers
254	"t is kantjesboord"	"op het kantje af"	Deventers
255	"t is kieerelswark"	"werk van belang"	Deventers
256	"t is nach met 'm"	"t is narigheid met hem"	Deventers
257	"t is daor 'n nakende bul"	"schraalhans is er keukenmeester"	Deventers
258	"diee vent is mîn grön op 't buis"	"hij is me slecht gezind"	Deventers
259	"kommedieer î hond en blaf zellef"	"zegt men tot iemand die ons iets bestelt dat hij heel goed zelf kan doen, die ons voor kencht wil gebruiken"	Deventers
261	"op kantjesboord"	"op het kantje af"	Deventers
262	"laot u kemmen"	"loop heen!"	Deventers
263	"de héle kluit is 'm verbrand"	"de gehele inboedel is verbrand"	Deventers
264	"liggen kranewaken"	"wakker liggen (in beweging zijn)"	Deventers
265	"t stieet te lüsteren"	"als het weer niet weet wat het zal doen"	Deventers
266	"völle te martelen hebben"	"heel hard moeten werken om er te komen of veel tegenspoed hebben"	Deventers
267	"hiee kan hen nüsselen loopen"	"hij kan naar de weerga loopen"	Deventers
268	"zo zwart as een Törk zin"	"vies zijn"	Deventers
269	"hiee hef de vrouwe wieer an de rèkening"	"zijn vrouw verkeert in gezegende omstandigheden"	Deventers
270	"daor zit de raozende motte in"	"wordt gezegd van iets dat stuk is."	Deventers
271	"De naolde in 't spek stèken"	"ophouden, uitscheiden met werken"	Deventers
272	"t er îmand ümmedôn"	"iemand foppen"	Deventers
274	"stoot is an de wieege"	"toe, drink eens"	Deventers
275	"D'r is te völle dak op 't hüs"	"we hebben hier teveel bekijks"	Deventers
276	"de brook niet kepot hebben"	"duiten hebben"	Drents
277	"de haon heuren kreien"	"dicht bij het dorp liggen, vruchtbaar zijn"	Drents
278	"t vuur wel instrieken kunnen"	"er beter aan doen het maar op te geven; zijn biezen wel kunnen pakken"	Drents
279	"t kennen moeten"	"het onderspit moeten delven"	Drents
280	"de krappe toedreien"	sterven	Drents
281	"t like maken"	"de schuld vereffenen"	Drents
282	"t lien moeten"	"het moeten ontgelden"	Drents
283	"de moedvaeren hangen laoten"	"de moed laten zakken"	Drents
284	"t ritsen kunnen"	"klaarspelen, halen"	Drents
285	"t loon treffen"	"tot overeenstemming komen over het loon"	Drents
286	"de wille doewn"	"zijn zin geven"	Drents
287	"de stikken optrekken"	"zijn biezen pakken"	Drents
288	"de beest unnerstreien"	"een laagje stro onder (de koeien) strooien"	Drents
289	"de heele boer aover gaon"	"door het hele dorp bekletst worden"	Drents
290	"t ma(a)lvel anhebben"	"mal doen"	Drents
291	"een snoevert in hebben"	"dronken zijn"	Drents
292	"n valk vangen"	"een goede slag slaan"	Drents
293	"en hiele aap schieten"	"een hele slag slaan"	Drents
294	"n lillekerd trekken"	"een lelijk gezicht trekken"	Drents
295	"n wieze bek geven"	eigenwijs	Drents
296	"blaauw geven"	"een blauwtje laten lopen"	Drents
297	"front slaon over"	"ophef maken van"	Drents
298	"kraom anzeggen"	"aan buren etc. komen zeggen dat men een jonge zoon of dochter heeft gekregen"	Drents
299	"kraom anspreken"	"een kraambezoek afleggen"	Drents
302	"modder zweiten"	"erg zweten"	Drents
303	"raod sloan"	beraadslagen	Drents
304	"reur kommen"	"in beweging komen; loskomen, op dreef raken"	Drents
305	"revaenzie hollen"	"wraak nemen"	Drents
306	"stand griepen"	"bestendigd worden, blijvend worden"	Drents
307	"vlak slaon"	"op niets uitlopen"	Drents
308	"knie'n dreugen"	"niets zitten doen"	Drents
309	"lillekers trekken"	"lelijke gezichten trekken"	Drents
310	"nagels dreugen"	"werkloos thuiszitten"	Drents
311	"roosies zörgen laoten"	"luchthartig, onbekommerd over de toekomst leven"	Drents
312	"wörms kriegen"	"een knagend, onmrustig gevoel krijgen"	Drents
313	"groote oogen maoken"	"grote ogen opzetten"	Drents
314	"vel over bot wezen"	"erg mager zijn"	Drents
315	"lichten en zwaôren kunnen"	"zich weten in te stellen op iets of iemand, zodat men ermee overweg kan"	Drents
316	"snöt en kwiel raeren"	"tranen met tuiten huilen"	Drents
317	"gien kreuk hebben"	"niets te vrezen hebben"	Drents
318	"zien vliet anwenden"	"zijn best doen"	Drents
319	"heyr brood best hebben"	"best de kost verdienen"	Drents
320	"zien wil kriegen"	"zijn zin geven"	Drents
321	"eén ofblieven"	"iemand niet aanraken, van iemand afblijven"	Drents
322	"nie umliek willen"	"niet willen toegeven"	Drents
323	"n enge daarm hebben"	"ze (kleermakers) konden niet zoveel als zij (de boeren)"	Drents
324	"de fats hebben"	"niets hebben"	Drents
325	"n gollen gat hebben"	"pronken met veel gouden opschik"	Drents
326	"n kleur as 'n voel hemp hebb'n"	"lijkbleek zijn"	Drents
327	"drokke raod hebben"	beraadslagen	Drents
328	"n vaaste kop hebben"	"een sterk geheugen hebben"	Drents
329	"t veurwoord hebben"	"het grootste woord hebben"	Drents
330	"met 't aachterhek laoten loopen"	"een blauwtje laten lopen"	Drents
331	"met 'n kaander anspannen"	"zich gezamenlijk inzetten"	Drents
332	"op 'n biesterbaan brengen"	"in verwarring brengen"	Drents
333	"uut de bosch komen"	"voor de draad komen"	Drents
334	"veur 'n dooneet liggen"	"ongebruikt liggen"	Drents
335	"um de dolm loopen"	"zijn tijd lopen te verbeuzelen"	Drents
336	"op een drietnust oetdreijen"	"op een sof uitdraaien"	Drents
337	"in 't enterhok komen"	"Benjamin af worden"	Drents
338	"op de foggel gaon"	"er vandoor gaan"	Drents
339	"in 't gat hangen"	"zich onwillig tonen, het erbij laten zitten"	Drents
340	"in volle glorie staon"	"in lichter laaie staan"	Drents
342	"op 't aor doen"	aanpraten	Drents
343	"op 't oor dreien"	"opscheppen met, aansmeren"	Drents
344	"an 't oor sm(a)eren"	aansmeren	Drents
345	"op heeg' en stroek hen hangen"	"uitlenen zonder voldoende zekerheid van teruggave"	Drents
346	"an d'hemmel gaon"	"zich wegscheren"	Drents
347	"met de heunskoop hen gaon"	"het moeten bekopen"	Drents
348	"an d' hooz' kriegen"	"aan zijn broek krijgen, opgescheept worden met"	Drents
349	"op 't iezer bieten willen"	"willen aanpakken"	Drents
350	"in ien jaor kommen"	"het eens worden"	Drents
351	"opt jepon geven"	"op zijn falie geven"	Drents
352	"an de kaers kommen"	"bij opbod verkocht worden"	Drents
353	"op de kaor nemen/kriegen"	"op de hak nemen, beetnemen"	Drents
354	"in de keur gaon"	"keuze hebben"	Drents
355	"eroet kielen"	"hem smeren"	Drents
356	"bij de kooien zitten"	"wekeloos zitten wachten"	Drents
357	"van de lappen kunnen"	"uit de voeten kunnen"	Drents
358	"op e lappen komen"	"op de proppen komen"	Drents
359	"in 't leéd gaon"	"beginnen te zingen"	Drents
360	"in de leie zied vallen"	zwichten	Drents
361	"opt leste liggen"	"op sterven liggen"	Drents
362	"um lever gaon"	ontzien/sparen	Drents
363	"op 't leverei kommen"	"op hun falie geven"	Drents
364	"in 't lieke hangen"	"in evenwicht hangen"	Drents
365	"an 't liepmessien trekken"	huilen	Drents
366	"an d' lip trekken"	"beginnen te huilen"	Drents
367	"um ('n) lo(u)chien gaon"	sterven	Drents
368	"inne lompen schuppen"	bedriegen	Drents
369	"op luster zitten/staon"	"zitten/staan afluisteren"	Drents
370	"mit de maande lopen"	venten	Drents
371	"veur mats liggen"	"uitgeput neerliggen"	Drents
372	"in d' buus miegen"	beseibelen	Drents
373	"an de naers kriegen"	"aan de broek krijgen; erbij inschieten"	Drents
374	"op de naod krabben"	"door zijn geld heen zijn"	Drents
375	"veur 'n ongeboren vrezen"	"onheil vrezen"	Drents
376	"in palmtering staon"	"in dubio staan"	Drents
377	"in palmtaosie staon"	"in dubio staan"	Drents
378	"in de pette kieken"	bidden	Drents
379	"in de plukhaore gooien"	"te grabbel gooien"	Drents
380	"in de baord prommelen"	mompelen	Drents
381	"op d'rekken gaon"	"het hazepad kiezen"	Drents
382	"in d' reur kommen"	"in beweging komen; verder bekend raken, doorverteld worden"	Drents
383	"in 't rewien kommen"	"verwaarloosd, veronachzaamd worden"	Drents
384	"oet de rieg' loopen"	"buitensporig worden"	Drents
385	"deroet rieten"	"hem smeren, zich uit de voeten maken"	Drents
386	"op de rogge gooien"	"uitkomen met (een speelkaart)"	Drents
387	"bij de schammel(l)akken griepen"	"bij de kladden grijpen"	Drents
388	"op 'n scheet oetlopen"	"op niets uitlopen"	Drents
389	"biej de schobben griepen"	"bij de kladden grijpen"	Drents
390	"in de schoerzak hangen"	"gedurende geruime tijd staan te gebeuren, in het vat zitten"	Drents
391	"mit een sister oflopen"	"met een sisser aflopen"	Drents
392	"d'r oet snien"	"hem smeren"	Drents
393	"op de snuup gaon"	"eropuit om te grazen op andermans terrein; van koeien"	Drents
394	"in de bie'jn steigeren"	"overeind komen"	Drents
395	"veur de stoel trouwen"	"in de kerk trouwen?"	Drents
396	"van gien teuws of meuws mer weten"	"nergens meer benul van hebben"	Drents
397	"in één toomscheuten deurgaon"	"aan een stuk doorgaan"	Drents
398	"in 't zwaor touw hangen"	"zwaar werk verrichten"	Drents
399	"achter wat an venten"	"iets op verschillende plaatsen trachten te krijgen, achter iets aan zitten"	Drents
400	"in 't vergetelboekien komen"	"in 't vergeetboekje komen"	Drents
401	"op vertok hollen"	"aan het lijntje houden"	Drents
402	"te vogelweide liggen"	"verwilderd, onbeheerd heenliggen, resp. liggen; van land"	Drents
403	"naor de weerslag goan"	"naar de bliksem gaan"	Drents
404	"in de zeep zitten"	"in de rats zitten; hem knijpen"	Drents
405	"an d'zied maoken"	"afhandelen, afwerken"	Drents
406	"op zwörm pazzen"	"thuisblijven omdat zijn vrouw op de laatste dagen loopt"	Drents
407	"veur 'n gewoonte hebben"	"gewoon zijn"	Drents
408	"in de maacht hebben"	"aankunnen, sterk genoeg zijn voor"	Drents
409	"in de pikpan hebben"	"binnen hebben"	Drents
410	"in d' reken hebben"	verwachten	Drents
411	"d'r mit an wèzen"	"er geen raad mee weten"	Drents
412	"niet under de gaanzen oetbrödt wezen"	"niet dom zijn"	Drents
413	"an de piepkan wezen"	"aan de drank zijn"	Drents
414	"in d' reken wezen"	"in tel zijn"	Drents
415	"op takken wezen"	"in zijn schik zijn"	Drents
416	"al in de vaarv' verbraand wezen"	"al mis zijn; al te laat zijn"	Drents
417	"iene de kop gek maken"	"(iemand) erg onbezonnen doen handelen"	Drents
418	"eén nei doón"	"iemand verwonderen"	Drents
419	"(iene) de baord ofhemmelen"	"(iemand) scheren"	Drents
