sentence_id	original	translation	gloss	grammaticality	sentence_answerset_id	sentence_strategy_id
22	"t lien moeten"	"to have to pay for something (Lit.: to have to suffer it)"	"it suffer must "	ok	Drents	282
23	"op 't iezer bieten willen"	"to want to work hard (Lit.: to want to bite the iron)"	"on the.SG.N iron bite want"	ok	Drents	349
24	"t ritsen kunnen"	"to pull it off, to manage s.th. (Lit.: to be able to zip it up)"	"it zip can"	ok	Drents	284
25	"t gien woord hebben willen"	"to be unwilling to openly admit s.th. (Lit.: to want to have the none word)"	"the.SG.N ?none word have want"	ok	Drents	432
26	"t vuur wel instrieken kunnen"	"to better give up (Lit.: to better smooth out the fire)"	"the.SG.N fire quite in_smooth can"	ok	Drents	278
27	"an d' lip trekken"	"to start crying (Lit.: to pull the lip)"	"on the.SG.NN lip pull"	ok	Drents	366
28	"de pet in d' oogen trekken"	"to be ashamed (Lit.: to pull the cap in one's eyes)"	"the.SG.NN cap in the.PL eyes pull"	ok	Drents	505
29	"de pokkel er bijlangs dreien"	"to back out of work, to be lazy (Lit.: to turn one's shoulder away)"	"the.SG.NN shoulder there along turn"	ok	Drents	471
30	"De ketel an 't gat kriegen"	"to get fired (Lit.: to get the kettle on one's ass)"	"the.SG.NN kettle on the.SG.N ass get"	ok	Drents	468
31	"n wieze bek geven"	"to be cocky, conceited (Lit.: to give a wise mouth)"	"a wise mouth give"	ok	Drents	295
32	"der 'n bongel in gooien"	"to make trouble, to rock the boat (Lit.: to throw a club in somewhere)"	"there a club in throw"	ok	Drents	422
33	"eén 'n piek steken/zetten"	"to play someone a nasty trick (Lit.: to stab/put someone a spike)"	"someone a spike stab/put"	ok	Drents	424
34	"schrok in de maog hebben"	"to be hungry (Lit.: to have bolt in the stomach)"	"bolt in the.SG.NN stomach have"	ok	Drents	498
35	"zich 't gat oet de hengen lopen"	"to walk too fast (Lit.: to walk oneself the ass out of the hinges)"	"REFL the.SG.N ass out the.PL hinges walk"	ok	Drents	466
36	"iene de kop gek maken"	"to make someone act crazily, to make someone fall in love with you (Lit.: to make one's head crazy)"	"someone the.SG.NN head crazy make"	ok	Drents	417
37	"iene de kop verdreeien"	"to make someone fall in love with you (Lit.: to turn someone's head)"	"someone the.SG.NN head turn"	ok	Drents	420
38	"iên de hoed volschrobben"	"to call someone everything under the sun (Lit.: to scrub someone's skin full)"	"someone the.SG.NN skin full_scrub"	ok	Drents	421
39	"zien wil kriegen"	"to get his way (Lit.: to get his will)"	"his will get"	ok	Drents	320
40	"uit de aard geslagen zijn/schieten "	"to be different from your family members (Lit.: to be/to be shot out of one's character)"	"out the.SG.NN character hit.PTCP be/shoot"	ok	Groesbeeks	941
41	"een deuntje zitten maken "	"to have a crying fit (Lit.: to be making a song)"	"a song.DIM PROG make"	ok	Groesbeeks	867
42	"te valle leije"	"to be drunk (Lit.: to lie falling)"	"to fall lie"	ok	Groesbeeks	4627
43	"wa lètters gevrète hebben"	"to be smart (Lit.: to have eaten quite some letters)"	"some letters eat.PTCP have"	ok	Groesbeeks	4628
44	"van de been gerakt zijn"	"to be drunk (Lit.: to have gotten off your leg)"	"from the.SG.NN leg get.PTCP be"	ok	Groesbeeks	4629
45	"de pijp uitgaan"	"to die (Lit.: to go out of the pipe)"	"the.SG.NN pipe out_go"	ok	Groesbeeks	900
46	"iemand de ogen uitsteken"	"to make someone jealous by flaunting something (Lit.: to stick someone's eyes out)"	"someone the.PL eyes out_stick"	ok	Groesbeeks	957
47	"d'n hak schudde"	"to die (Lit.: to shake the heel)"	"the.SG.NN heel shake"	ok	Groesbeeks	859
48	"iemand de hak scheef zetten"	"to hamper someone (Lit.: to put someone the heel crooked)"	"someone the.SG.NN heel oblique put"	ok	Groesbeeks	955
49	"het laatste hemd van zijn kont geven"	"to give away everything he owns (Lit.: to give away the final shirt off his butt)"	"the.SG.N final shirt from his butt give"	ok	Groesbeeks	864
50	"de gros gewisseld krijgen"	"to be told the plain truth (Lit.: to get one's penny exchanged)"	"the.SG.NN penny exchange.PTCP get"	ok	Groesbeeks	863
51	"een oogje aan iets wagen"	"to check something out, have a look at something (Lit.: to risk an eye on something)"	"a eye.DIM on something risk"	ok	Groesbeeks	997
52	"ne grote moel krijge"	"to be shouted at, to be rebuked (Lit.: to get a big mouth)"	"a big mouth get"	ok	Groesbeeks	872
53	"naar het hooi moeten"	"to be in a hurry (Lit.: to have to go to the hay)"	"to the.SG.N hay must"	ok	Groesbeeks	932
54	"'t Mos nie mugge"	"It shouldn't be possible (Lit.: It must not may)"	"it must not may"	ok	Groesbeeks	4630
55	"veul uwt motte drinke vaen iemaend"	"to have to put up with a lot from someone (Lit.: to have to drink out a lot from someone)"	"much ?out must drink from someone"	ok	Groesbeeks	915
56	"iemand de hak kunnen violen / Je kunt me de hak violen!"	"To hell with you! (Lit.: someone the heel can ? / You can ? me the heel)"	"someone the.SG.NN heel can ?violining / You can me the.SG.NN heel ?violining"	ok	Groesbeeks	954
57	"Ge kunt me de poekel roenter roetse"	"To hell with you! (Lit.: You can slide under my shoulder)"	"you can me the.SG.NN shoulder under slide"	ok	Groesbeeks	4631
58	"iets gevèègd kunne krijge "	"to be able to get something done (Lit.: to be able to get something swept)"	"something sweep.PTCP can get"	ok	Groesbeeks	1040
59	"zich de krullen van de buik lachen"	"to roar with laughter (Lit.: to laugh oneself the curls from the belly)"	"REFL the.PL curls from the.SG.NN belly laugh"	ok	Groesbeeks	962
60	"de kont tigge de krib keren"	"to be obstructive, make a fuss (Lit.: to turn one's butt against the manger)"	"the.SG.NN butt against the.SG.NN manger turn"	ok	Groesbeeks	995
61	"iets onder de voet haole"	"to start something, esp. something difficult (Lit.: to pull something under the foot))"	"something under the.SG.NN foot pull"	ok	Groesbeeks	986
62	"gin nagels hebbe um de kont te krabbe"	"to be as poor as a church mouse (Lit.: to have no nails to scratch one's butt)"	"no nails have to the.SG.NN butt to scratch"	ok	Groesbeeks	1051
63	"ergens met de benen uit hangen"	"it is jam-packed somewhere (Lit.: to hang with you legs out of somewhere)"	"somewhere with the.PL legs out hang"	ok	Groesbeeks	1015
64	"geen gaatje in zijn kop hebben"	"to not be crazy, to be smart (Lit.: to not have a hole in his head)"	"no hole.DIM in his head have"	ok	Groesbeeks	1000
65	"iemaend 't hèmd vaen 't lief vraoge"	"to want to know everything from someone, to pester someone with questions (Lit.: to ask someone the shirt from the body)"	"someone the.SG.N shirt from the.SG.N body ask"	ok	Groesbeeks	958
66	"iemand er met de haren bijslepen"	"to force someone to do something (Lit.: to drag someone to it by the hair)"	"someone there with the.PL hairs by_drag"	ok	Groesbeeks	1018
67	"iemand um z'n ore flaetse "	"to box someone's ears (Lit.: to strike someone around his ears)"	"someone around his ear.PL strike"	ok	Groesbeeks	973
68	"Daa pèrd zal mien nie mèr slaon"	"There is no danger from something anymore. (Lit.: That horse shall no longer hit me.)"	"that horse shall me not longer hit"	ok	Groesbeeks	4632
69	"iemaend in z'n wèze laote"	"to leave someone alone (Lit.: to let someone in his being)"	"someone in his being let"	ok	Groesbeeks	974
70	"wil vaen iemaend hebbe "	"to benefit from someone (Lit.: to have will from someone)"	"will from someone have"	ok	Groesbeeks	988
71	"ain bie (de) poot had hebben"	"to fool someone (Lit.: to have had someone by the paw)"	"someone by the.SG.NN paw have.PTCP have"	ok	Gronings	4625
72	"aan (de) grond liggen"	"to have come down in the world (Lit.: to lie on the ground)"	"on the.SG.NN ground lie"	ok	Gronings	622
73	"'t gras kennen heuren wassen/gruien"	"to be cocky, conceited (Lit.: to be able to hear the grass grow)"	"the.SG.N grass can hear grow/grow"	ok	Gronings	670
74	"ain (de) mantel oetvegen"	"to rebuke, punish someone (Lit.: to clean someone the cloak out)"	"someone the.SG.NN cloak clean_out"	ok	Gronings	768
75	"achter (de) hand hol'n"	"to keep s.th. for a rainy day (Lit.: to keep behind the hand)"	"behind the.SG.NN hand keep"	ok	Gronings	606
76	"'n bult stront om hakken hebben"	"to have a haughty manner, to brag (Lit.: to have a pile of shit on one's heels)"	"a heap dung around heels have"	ok	Gronings	681
77	"'n kop teunen"	"to be headstrong after being rebuked, from a child (Lit.: to show a head)"	"a head show"	ok	Gronings	736
78	"'n slechte piep rooken"	"to come off badly, to suffer damage or loss (Lit.: to smoke a bad pipe)"	"a bad pipe smoke"	ok	Gronings	800
79	"ʼn tumel holʼn "	"to make a mistake, to overindulge and get discredited for it (Lit.: to get a tumble)"	"a tumble get"	ok	Gronings	835
80	"achter (de) pet zitten"	"to pray or say grace before dinner (Lit.: to sit behind one's cap)"	"behind the.SG.NN cap sit"	ok	Gronings	603
81	"om (de) kop lopen; het lopt mie om (de) kop"	"to have (too) many things on your mind, to be extremely busy (Lit.: to walk around the head; it walks me around the head)"	"around the.SG.NN head walk; it walks me around the.SG.NN head"	ok	Gronings	739
82	"niks oet (de) stee kennen zetten"	"to not have the energy to get anything done, to be lazy (Lit.: to be unable to move anything out of the spot)"	"nothing out the.SG.NN spot can put"	ok	Gronings	810
83	"oet ('t) stuur komen/zijn"	"to be upset, confused (Lit.: to come/be out of rule)"	"out the.SG.N rule come/be"	ok	Gronings	826
84	"'t an (de) loop hebben"	"to get something going (Lit.: to have it on the walk)"	"it on the.SG.NN walk have"	ok	Gronings	756
85	"aan (de) kladder wezen / op (de) kletter wezen"	"to be on the run (for a horse), to be on a spree, on the loose (Lit.: to be on the rattle (=sound of horse's hooves))"	"on the.SG.NN rattle be / on the.SG.NN rattle be"	ok	Gronings	782
89	"ain de woorden oet (de) keel/strut mouten hoalen"	"someone never says anything, is not a sociable person (Lit.: to have to pull the words out of someone)"	"someone the.PL words out the.SG.NN throat/gullet must pull"	ok	Gronings	715
90	"'r tegen bosseln mouten"	"to have to struggle hard, work against something (Lit.: to have to brush against it)"	"there against brush must"	ok	Gronings	634
91	"met ain kennen aiden en plougen"	"to get along well with someone (Lit.: to be able to harrow and plough with someone)"	"with someone can harrow and plough"	ok	Gronings	614
92	"gain bijn an grond kennen kriegen"	"to have no succes at something, to stay behind for instance in a game (Lit.: to get no leg on the ground)"	"no leg on ground can get"	ok	Gronings	640
93	"ain (de) rogge toudraien"	"to turn one's back on someone (Lit.: to turn the back at someone)"	"someone the.SG.NN back at_turn"	ok	Gronings	834
94	"(de) bek op 't rechte stee hebben"	"to be a good speaker, to talk easily (Lit.: to have one's mouth on the right spot)"	"the.SG.NN mouth on the.SG.N straight spot have"	ok	Gronings	809
95	"mit (de) mond vol tannen stoan"	"to be at a loss for words, be tongue-tied (Lit.: to stand with the mouth full of teeth)"	"with the.SG.NN mouth full teeth stand"	ok	Gronings	815
96	"mit ('t) verkeerde bijn oet ('t) ber stapt zijn"	"to have gotten out of bed on the wrong side, be bad-tempered (Lit.: to have stepped out of bed with the wrong leg)"	"with the.SG.N wrong leg out the.SG.N bed step.PTCP be"	ok	Gronings	646
97	"ain (de) keel oethangen "	"to be fed up with something (Lit.: to hang someone out the throat)"	"someone the.SG.NN throat out_hang"	ok	Gronings	714
98	"ain dicht op (de) hoed zitten"	"to sit so close to someone that you touch them, to keep on at someone (Lit.: to sit someone close on the skin)"	"someone close on the.SG.NN skin sit"	ok	Gronings	694
99	"ain 't hemd van 't gat vragen"	"to want to know everything from someone, to pester someone with questions (Lit.: to ask someone the shirt off the butt)"	"someone the.SG.N shirt from the.SG.N butt ask"	ok	Gronings	655
100	"op zien achterste pooten/hakken goan stoan"	"to rise up in arms, get very cross (Lit.: to go stand on one's hind legs)"	"on his hindmost legs/heels go stand"	ok	Gronings	608
101	"'t wel flikken zellen"	"to pull it off, to manage s.th. (Lit.: to surely pull it off)"	"it quite pull_off shall"	ok	Gronings	652
102	"Den zellen mie de koezen nait meer jeuken"	"I will be long dead then. (Lit.: By then, the molars won't itch me any longer)"	"then shall me the.PL molars not more itch"	ok	Gronings	711
103	"op zien kop geven"	"to give someone a beating, to rebuke someone (Lit.: to give someone on their head)"	"on his head give"	ok	Gronings	732
104	"nait tot vief tellen kennen"	"to be or appear stupid, dumb (Lit.: to be unable to count to five)"	"not until five count can"	ok	Gronings	720
105	"ergens gain tou aan vast kennen knopen"	"can't make head or tail of it, to not understand something (Lit.: to be unable to tie any rope to something)"	"somewhere no rope on tight can tie"	ok	Gronings	4626
107	"er de sokke in zette"	"to make good time, to go/run/drive away quickly (Lit.: to put the socks in)"	"there the.PL socks in put"	ok	Utrechts	112
108	"de bokkepruik op hebben"	"to be grumpy (Lit.: to have the buck's wig on)"	"the.SG.NN buck's_wig on have"	ok	Utrechts	17
109	"het hart uit z'n lijf spugen"	"to vomit vehemently (Lit.: to vomit the heart out of one's body)"	"the.SG.N heart out his body throw_up"	ok	Utrechts	115
110	"iemand de les lezen"	"to give someone a talking-to (Lit.: to read someone the lesson)"	"someone the.SG.NN lesson read"	ok	Utrechts	4623
111	"een stuk in z'n kraag hebbe"	"to have had too much to drink, to be drunk (Lit.: to have a piece in one's collar)"	"a piece in his collar have"	ok	Utrechts	96
112	"een snee in z'n neus hebben"	"to have had too much to drink, to be drunk (Lit.: to have a cut in one's nose)"	"a cut in his nose have"	ok	Utrechts	110
113	"een tukkie doen"	"to take a nap (Lit.: to do a little nap)"	"a nap.DIM do"	ok	Utrechts	21
114	"iemand de keel afbijten; het bijt hem de keel af"	"to be really hungry; he's really hungry for something (Lit.: to bite someone's throat off; it bites him the throat off)"	"someone the.SG.NN throat off_bite; it bites him the.SG.NN throat off"	ok	Utrechts	76
115	"iemand de dampen andoen"	"to cause someone grief (Lit.: to give someone the steams)"	"someone the.PL steams on_do"	ok	Utrechts	77
116	"ergens een dagtaak aan hebben"	"to have a lot of work on something (Lit.: to have a full day's work on something)"	"somewhere a day's_work on have"	ok	Utrechts	2
117	"op z'n flikker geven"	"to give someone a beating (Lit.: to give someone on their ?ass)"	"on his ?ass give"	ok	Utrechts	34
118	"het grondgat van iets willen weten"	"to want to know all about something (Lit.: to want to know the ground hole from something)"	"the.SG.N ground_hole from something want know"	ok	Utrechts	91
119	"mit 'n helm geboren zijn"	"to be able to see the future, or: to be bald (Lit.: to be born with a caul on)"	"with a caul born.PTCP be"	ok	Utrechts	133
120	"in z'n raap geslagen hebben"	"to have eaten a lot (Lit.: to have hit a lot in his turnip)"	"in his turnip hit.PTCP have"	ok	Utrechts	59
121	"uit je doppen moeten kijken"	"you have to watch where you're going (Lit.: to have to watch out of your eyes)"	"out your eyes must watch"	ok	Utrechts	33
122	"Dat kun je niet maken!"	"You can't do that, it's not okay (Lit.: You can't make that!)"	"that can you not make"	ok	Utrechts	4624
123	"We motte 't huisie bij 't schuurtje late"	"We shouldn't spend to much money, construct too generously, or: we shouldn't drift off too much (Lit.: We should leave the house near the shed.)"	"we must the.SG.N house.DIM with the.SG.N shed.DIM let"	ok	Utrechts	99
124	"iemand kenne zwete"	"to easily control someone (Lit.: to be able to sweat someone)"	"someone can sweat"	ok	Utrechts	24
125	"een ei in z'n gat kenne gaar koke"	"someone is very anxious or angry (Lit.: to be able to cook an egg in his ass)"	"a egg in his ass can done cook"	ok	Utrechts	89
126	"ergens kakhuize mee kenne dekke"	"There are way too many of something (Lit.: to be able to cover shithouses with something)"	"somewhere shithouses with can cover"	ok	Utrechts	123
127	"Je kunt me de bout hachelen!"	"To hell with you! (I don't believe you.) (Lit.: You can fake me the fart!)"	"you can me the.SG.NN fart ?pretend"	ok	Utrechts	78
128	"van wanten weten"	"to know the ropes, to be hard worker, to be decisive (Lit.: to know from mittens)"	"from mittens know"	ok	Utrechts	71
129	"op apegapen liggen"	"to be very tired, to be at one's last gasp (Lit.: to lie on ape's yawning)"	"on ape's_yawn lie"	ok	Utrechts	27
130	"op je achterste poten gaan staan"	"to rise up in arms, get very cross (Lit.: to go stand on one's hind legs)"	"on your hindmost legs go stand"	ok	Utrechts	26
131	"Den heif opgeiten hemmen "	"to get the blame, to be the scapegoat, to no longer be in good graces (Lit.: to have eaten up the sourdough) "	"the.SG.M sourdough up-eat.PTCP have "	ok	Aalsters	1602
132	"Van de spannord gesneeën zen "	"to be articulate, to talk a lot, to be able to explain everything well (Lit.: to be cut by the frenulum) "	"of the.SG.M frenulum cut.PTCP be "	ok	Aalsters	1941
134	"De wereld kennen "	"to be informed, to have experience, to know what life/the world is like, to be polite, to have good manners (Lit.: to know the world) "	"the.SG.M world know "	ok	Aalsters	1610
136	"Ne keimel/metten schieten "	"to make a mistake / an error, to do something stupid / foolish (Lit.: to shoot a camel/calf)"	"a.INDF.M camel/calf shoot "	ok	Aalsters	1626
138	"Een oeigsken pletten "	"to take a nap, to sleep (Lit.: to flatten a little eye) "	"a.INDF.N eye.DIM flatten"	ok	Aalsters	1630
140	"Een zaug spannen "	"to nag (Lit.: to tighten a saw)"	"a.INDF.F saw tighten"	ok	Aalsters	1628
142	"Iemand d'oeiren van zenne kop zaugen "	"not stop whining to someone, not stop bothering someone (Lit.: to saw/nag someone's ears off his head)"	"someone the.PL'ears of his.SG.M head saw/nag"	ok	Aalsters	2127
144	"Iemand 't wit oit zen oeigen zing "	"to stare sternly/explicitly at someone (Lit.: to look the white out of someone's eyes)  "	"someone the.N white out his.PL eyes see "	ok	Aalsters	2126
146	"D'hand in 't spel hemmen "	"to be involved, to be an accomplice, to be the leader (Lit.: to have the hand in the game)"	"the.SG.F'hand in the.SG.N game have"	ok	Aalsters	2082
148	"Oit de voeten kennen "	"to make shift, to be able to handle yourself, to be handy, to be healthy, to not be sick or injured (Lit.: to be able to get off one's feet)"	"out the.PL feet can "	ok	Aalsters	1943
150	"In a wiek geschoten zen "	"to be displeased, upset, offended, annoyed, angry (Lit.: to be shot in your wick) "	"in your.SG.F wick shot.PTCP be "	ok	Aalsters	1944
151	"Van nen hoos gepoept zen "	"(negative, possibly inherited, traits) to want to do everything rapidly, to be fast, to act hastily (Lit.: to be shagged by a hare) "	"of a.INDF.M hare shag.PTCP be"	ok	Aalsters	1835
152	"Van 't lam/d'hand goesj gesleigen zen "	"to be bewildered, surprised, shocked, speechless, perplexed, upset OR to not know anything about it (Lit.: to be hit by the Lamb of God / by the hand of God)  "	"of the.SG.N lamb/the.SG.F'hand God.POSS hit.PTCP be"	ok	Aalsters	1824
153	"A nen hieten on't weiremen zen "	"to get angry (Lit.: to warm/heat yourself a hot one) "	"you a.INDF.M hot-one on'it warm.INF be"	ok	Aalsters	1992
154	"Op zenne kop gevallen/gesteukt zen "	"to be crazy, to act stupid, to do stupid things, to propose weird things, to have unrealistic expectations (Lit.: to have fallen/stumbled on his head) "	"on his.SG.M head fallen.PTCP/stumbled.PTCP be"	ok	Aalsters	1849
155	"Een aa kapelle moe versierd zen/werren "	"an elderly lady needs to get all dressed up, should wear nice clothes and jewellery, should put on make-up (Lit.: an old chapel has to be decorated) "	"a.INDF.F old chapel must decorated.PTCP be/become"	ok	Aalsters	2240
156	"Giejnen stoot derop kennen mauken "	"(said about people and things) to have doubts about it, to have no certainty about it, to not be able to count on it or trust it (Lit.: not be able to make a state on it)"	"no.SG.M state it-on can make"	ok	Aalsters	2050
157	"Zennen heirink wiltj ni breen/bakken "	"to be unsuccessful in what he wants to achieve, it doesn't work, it's cancelled, there is no sense to it (Lit.: his herring doesn't want to bite/bake) "	"his.SG.M herring wants not bite/bake"	ok	Aalsters	2201
158	"Mennen broinen kaan da ni trekken "	"it's too expensive, I do not have any/enough money, I can't afford it, I cannot handle it financially (Lit.: my brown one cannot pull that) "	"my.SG.M brown-one can that not pull"	ok	Aalsters	2279
159	"Iemand ni kennen hoeiren of (ni) zing "	"to not be able to stand/tolerate someone (Lit.: not be able to hear or see someone)"	"someone not can hear or (not) see"	ok	Aalsters	1794
160	"Ge kentj me a kenneken nor 't fabriek/no de kappetantjes terren/trekken "	"if you do not study well, you will have to quit school and start working (Lit.: you can go the the factory/to the little captains with your little jug)"	"you can with your.SG.N jug.DIM to the.SG.N factory/to the captain.DIM.PL step/hike  "	ok	Aalsters	2131
161	"A zol zennen oigen stront twie kieren opeiten "	"he is stingy, greedy (Lit: he would eat his own turd twice) "	"he would his.SG.M own turd two times eat "	ok	Aalsters	1749
162	"Menne kop sleeg oepen en toe "	"to have a splitting headache, stress, a hangover (Lit.: my head banged open and closed)"	"my.SG.M head bang.PST open and closed"	ok	Aalsters	2257
163	"Zen bloed kabbelde(ge)n van 't verschieten "	"he was frightened, startled, scared (Lit.: his blood rippled due to dismay) "	"his.SG.N blood ripple.PST of the.SG.N dismay "	ok	Aalsters	2204
164	"Zenne frang valt "	"it has become clear to him, he has figured it out, he suddenly understands it (Lit.: his franc fell)"	"his.SG.M franc fall.PST "	ok	Aalsters	2227
165	"Zenne kees looten"	"to die (Lit.: to let his candle) "	"his.SG.M candle let "	ok	Aalsters	2241
166	"'t zal zen kont(je) voren "	"he is facing radical (negative?) changes, surprises; certain expectations are not met; he will be surprised (Lit.: it will be unpleasant for his little butt) "	"it will his.SG.F butt.DIM sail "	ok	Aalsters	1726
167	"'t zal op ginne kaa stien vallen"	"it will not go unnoticed, it will cause conflicts/trouble, it will have consequences, people will pay attention to it, people will notice it, people will react to it (Lit.: it will fall on no cold stone)   "	"it will on no.SG.M cold stone fall "	ok	Aalsters	1903
168	"Zen riepen (rebbenen) kennen tellen "	"he is very thin, skinny (Lit: to be able to count his ribs) "	"his.PL ribs (ribs) can count"	ok	Aalsters	1747
169	"Ni deroon kennen rieken "	"to not measure up to it; he/she/it is better than you (Lit.: not be able to smell on it)"	"not it-on can smell"	ok	Aalsters	1877
170	"Ni on 't iejste kraum meigen koeipen "	"you shouldn't decide too quickly/hastily OR you are lower class and you never got/get the first choice OR you never get/got the first choice in general (even concerning things like breasts) (Lit.: to not be allowed to buy at the first booth)"	"not on the.SG.N first booth may buy"	ok	Aalsters	1852
171	"De streng niet te rap moeten aftrekken "	"to not (have to) rush things (Lit.: to not have to pull off the string too fast) "	"the string not too fast must off-pull "	ok	Aalsters	1606
172	"Anne rigge/kop nie moeten rechtzetten "	"you can't/don't stop working, you do not have the time to catch a breath/to pull yourself together (Lit.: to not have to put your back/head straight) "	"your.SG.M back/head not must straight-put"	ok	Aalsters	1748
173	"(Zelfs) den tol (ni mir) kennen betolen "	"to be very poor (Lit.: to not / no longer even be able to pay the toll)"	"even the.SG.M toll not more can pay"	ok	Aalsters	1608
174	"Tissen sches en boeim ni meigen tissenkommen "	"to not be allowed to interfere (Lit.: to not be allowed to come between bark and tree)"	"between bark and tree not may between-come"	ok	Aalsters	1882
175	"Zen jongeren opgeiten hemmen"	"to have a beard (Lit.: to have eaten his youngs, cubs) "	"his.PL young-one.PL up-eat.PTCP have"	ok	Aalsters	1688
176	"Door de neus geboord zijn"	"to be drunk (Lit.: to be drilled through the nose)"	"through the.SG.M nose drill.PTCP be"	ok	Brugs	3165
177	"Van de ratten geneukt zijn"	"to be very smart, clever, intelligent (Lit.: to be shagged by the rats)"	"of the.PL rat.PL shag.PTCP be"	ok	Brugs	3206
178	"Van nen haas gepoept zijn "	"to be very fast (Lit.: to be shagged by a hare)"	"of a.SG.M hare shag.PTCP be"	ok	Brugs	4974
179	"Staan/zitten te poepgaaien "	"to be loitering, to idle, to sit around doing nothing, to stand/sit there (foolishly) doing nothing (Lit.: to stand/sit poo-jaying)"	"stand/sit to poo-jay/hole.INF "	ok	Brugs	4217
180	"Hij is het aan het melken "	"he's trying to get everything out of it that he possibly can (Lit.: he's milking it)"	"he is it on it milk.INF "	ok	Brugs	4975
181	"Hij is aan het melken/mekkeren "	"he's complaining (Lit.: he is milking/bleating)"	"he is on it milk.INF/bleat.INF "	ok	Brugs	4976
182	"Hier aangekomen zijn met een kloef en een schoe "	"to have risen from poverty to richness (Lit: to have arrived here with a clog and a shoe)"	"here on-come.PTCP be with a clog and a shoe"	ok	Brugs	3923
183	"Het van [niet verre/geen hond(en)] gedeeld hebben "	"to have inherited traits from one's parents (Lit.: to not have shared it from far / from (a) dog(s))"	"it of [not far/no dog(.PL)] share.PTCP have"	ok	Brugs	3841
185	"Op doolkruid getorden hebben "	"to be unhappy, to stray from the right path (Lit.: to have stepped on ""roam herb"") "	"on roam-herb step.PTCP have"	ok	Brugs	3116
186	"Zure zoppen/soep(en) moeten eten "	"to be poor and miserable, to be familiar with misery and trouble (Lit.: to have to eat sour porridges/soup(s))"	"sour porridge.PL/soup(.PL) must eat"	ok	Brugs	2678
187	"Moeten kort keeren/houden "	"to be held in strict disciplinary control OR to have to go home OR to change one's mind (Lit.: to have to take a short turn, to have to keep short)     "	"must short turn/hold"	ok	Brugs	3622
188	"Er geen zand/kaas van moeten hebben "	"someone with whom one doesn't want to have relations/contact (Lit.: to not want to have sand/cheese from him/her/it)"	"there no sand/cheese of must have "	ok	Brugs	4071
189	"Verder willen springen dan zijnen stok lang is "	"to want to do more than one's means/resources allow for (Lit.: to want to jump further than the length of his stick)"	"further want jump than his.SG.M stick long is "	ok	Brugs	3634
